layer,neuron_index,activation,feature_type
1,1369,1.4961423397064209,python_pr
2,1680,1.4542495489120484,python_pr
3,1567,1.3469523072242735,python_pr
3,1037,1.3118278622627255,python_pr
3,949,1.1908443212509154,python_pr
3,400,1.0477120995521545,python_pr
3,34,0.99843670129776,python_pr
3,129,0.9961852192878724,python_pr
3,995,0.9222578406333924,python_pr
3,2038,0.8882863163948059,python_pr
2,229,0.8620094895362854,python_pr
3,65,0.8345179557800293,python_pr
3,484,0.8159596681594848,python_pr
3,772,0.7968580782413482,python_pr
2,958,0.7631220698356629,python_pr
2,360,0.7271192908287049,python_pr
3,1424,0.6838900327682496,python_pr
3,1978,0.6347894430160522,python_pr
2,1199,0.628054678440094,python_pr
3,664,0.6182603478431702,python_pr
3,83,0.6095748245716095,python_pr
2,2005,0.5827293157577514,python_pr
3,345,0.5646022021770477,python_pr
3,782,0.5441819250583648,python_pr
3,274,0.5398492217063904,python_pr
3,869,0.5365887761116028,python_pr
1,823,0.5345925450325012,python_pr
2,711,0.5334745883941651,python_pr
3,679,0.5313590943813324,python_pr
3,601,0.5175949275493622,python_pr
1,1055,0.4967178225517273,python_pr
3,597,0.4830197870731353,python_pr
3,794,0.4810646831989288,python_pr
3,108,0.4765485823154449,python_pr
3,411,0.4735276788473129,python_pr
3,1030,0.472645628452301,python_pr
2,946,0.4700340211391449,python_pr
3,757,0.4695278137922287,python_pr
3,818,0.4556145906448364,python_pr
3,1864,0.4483715116977692,python_pr
3,154,0.4381972968578339,python_pr
0,381,0.4225302636623382,python_pr
3,800,0.4067087799310684,python_pr
3,338,0.4047868728637695,python_pr
3,1032,1.9876115918159485,python_an
3,1665,1.5415557861328124,python_an
0,1122,1.493832230567932,python_an
1,1369,1.4496780157089233,python_an
2,1680,1.4041130304336549,python_an
3,1103,1.3790005803108216,python_an
3,2038,1.333952283859253,python_an
3,1937,0.9802283227443696,python_an
2,229,0.8575761556625366,python_an
3,63,0.8571663036942482,python_an
3,2013,0.8519470691680908,python_an
2,958,0.8284749984741211,python_an
3,1550,0.8025726914405823,python_an
2,1199,0.6867771625518799,python_an
3,1089,0.6734765827655792,python_an
3,42,0.6604914277791977,python_an
3,874,0.6212062582373619,python_an
3,411,0.6101436823606491,python_an
3,34,0.6007906496524811,python_an
2,2005,0.5908638834953308,python_an
3,1205,0.5453778266906738,python_an
3,1286,0.5444081157445908,python_an
1,823,0.5071227014064789,python_an
3,989,0.50113365650177,python_an
3,83,0.4970557332038879,python_an
3,1347,0.4867010712623596,python_an
3,818,0.4760078489780426,python_an
3,924,0.4586274266242981,python_an
3,450,0.4415005445480346,python_an
3,373,0.4392073377966881,python_an
2,946,0.4328607141971588,python_an
3,977,0.427652558684349,python_an
3,679,0.4275362253189086,python_an
3,31,0.4135211661458015,python_an
3,108,0.3921531021595001,python_an
3,1431,0.3913651674985886,python_an
3,1664,0.3883516103029251,python_an
3,1356,0.3872817948460579,python_an
3,154,0.3844154417514801,python_an
3,454,0.3807796776294708,python_an
3,1279,0.3704753398895263,python_an
3,1983,0.3675018161535263,python_an
3,331,0.3655972748994827,python_an
2,711,0.3628234803676605,python_an
3,1726,0.3620654970407486,python_an
0,381,0.355388730764389,python_an
2,1121,0.3492165297269821,python_an
3,877,0.3461325287818909,python_an
3,533,0.3456035807728767,python_an
3,1644,0.3428356200456619,python_an
3,924,2.170290780067444,nintendo
3,1487,2.112009119987488,nintendo
3,1665,1.457532024383545,nintendo
0,1122,1.4278053283691403,nintendo
1,1369,1.3794601202011108,nintendo
2,1680,1.3516388416290284,nintendo
3,691,1.1373960852622986,nintendo
3,897,1.125010907649994,nintendo
3,630,0.8727779746055603,nintendo
2,958,0.8372587203979492,nintendo
3,366,0.7791972517967224,nintendo
3,2038,0.7656646549701691,nintendo
2,229,0.7447493553161622,nintendo
3,1008,0.7144373908638955,nintendo
3,1808,0.699243712425232,nintendo
3,53,0.6755126237869262,nintendo
3,1470,0.6628691732883454,nintendo
3,34,0.6417050182819366,nintendo
3,577,0.6391240656375885,nintendo
3,664,0.6087754249572754,nintendo
3,995,0.6061400592327117,nintendo
1,1055,0.6041362822055817,nintendo
1,823,0.5935454428195953,nintendo
2,1199,0.5759062945842743,nintendo
2,711,0.5731324076652526,nintendo
2,946,0.5630211114883423,nintendo
3,373,0.5444887697696685,nintendo
2,2005,0.538354468345642,nintendo
3,1028,0.5332000494003296,nintendo
3,918,0.4781497180461883,nintendo
3,1965,0.4767952084541321,nintendo
3,1576,0.463695752620697,nintendo
3,818,0.4593488216400146,nintendo
3,1908,0.4566352188587189,nintendo
3,46,0.4529405951499939,nintendo
3,969,0.4441708087921142,nintendo
3,669,0.4427719473838806,nintendo
3,794,0.4347768366336823,nintendo
3,1267,0.4305481314659118,nintendo
3,1385,0.429316234588623,nintendo
3,154,0.4208569288253784,nintendo
3,411,0.4203459024429321,nintendo
3,689,0.4117877721786499,nintendo
3,1664,0.4061098277568817,nintendo
3,1257,0.4058571398258209,nintendo
3,949,0.4053258776664734,nintendo
3,1514,0.403408458828926,nintendo
3,1550,0.3968351781368255,nintendo
3,1772,0.384382560942322,nintendo
3,655,0.3800211429595947,nintendo
3,2038,1.5790059089660644,math
3,1665,1.3263581275939942,math
3,1912,1.309519600868225,math
0,1122,1.2293896675109863,math
1,1369,1.169734990596771,math
2,723,1.157556343078613,math
3,556,1.1409158110618591,math
2,1680,1.1372984766960144,math
3,400,1.1055377840995788,math
3,65,1.1004006147384644,math
3,1644,1.0958511114120484,math
3,713,1.0883986115455628,math
3,1174,1.0805426955223083,math
3,125,1.0369434595108031,math
3,1995,1.0208391785621642,math
3,34,1.0172291994094849,math
3,26,0.9681955337524414,math
2,229,0.9161573886871338,math
